,State,Type_of_Breach,Individuals_Affected
0,AK,Theft,4201
1,AK,Unauthorized Access/Disclosure,4299
2,AL,Hacking/IT Incident,2324
3,AL,Improper Disposal,1655
4,AL,Other,1085
5,AL,Theft,974836
6,AL,Unauthorized Access/Disclosure,880
7,AR,Hacking/IT Incident,3116
8,AR,Loss,7185
9,AR,Other,11313
10,AR,Theft,2911
11,AR,"Theft, Unauthorized Access/Disclosure",1900
12,AR,Unauthorized Access/Disclosure,7121
13,AZ,Hacking/IT Incident,9393
14,AZ,Loss,11856
15,AZ,"Loss, Improper Disposal",2000
16,AZ,Other,55207
17,AZ,Theft,68718
18,AZ,"Theft, Unauthorized Access/Disclosure",654
19,AZ,Unauthorized Access/Disclosure,176202
20,AZ,"Unauthorized Access/Disclosure, Hacking/IT Incident",42000
21,CA,Hacking/IT Incident,66447
22,CA,Improper Disposal,193023
23,CA,Loss,56640
24,CA,"Loss, Other",29000
25,CA,"Loss, Unauthorized Access/Disclosure, Unknown",2533
26,CA,Other,92432
27,CA,Theft,2244587
28,CA,"Theft, Loss",33702
29,CA,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",1112
30,CA,"Theft, Other",1368
31,CA,"Theft, Unauthorized Access/Disclosure",4723
32,CA,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",800
33,CA,Unauthorized Access/Disclosure,45724
34,CA,Unknown,1900000
35,CO,Hacking/IT Incident,13207
36,CO,"Hacking/IT Incident, Other",3200
37,CO,Improper Disposal,606
38,CO,Loss,9851
39,CO,Other,5415
40,CO,Theft,114177
41,CO,"Theft, Other",11500
42,CO,"Theft, Unauthorized Access/Disclosure",1183
43,CO,Unauthorized Access/Disclosure,6418
44,CT,Hacking/IT Incident,957
45,CT,Improper Disposal,6372
46,CT,Loss,94027
47,CT,Theft,104407
48,CT,Unauthorized Access/Disclosure,3727
49,DC,Loss,5326
50,DC,Theft,86197
51,DC,"Theft, Other",2416
52,DC,Unauthorized Access/Disclosure,1549
53,DE,Loss,948
54,DE,Other,24525
55,FL,Hacking/IT Incident,1831
56,FL,Improper Disposal,603
57,FL,Loss,1070489
58,FL,Other,17381
59,FL,Theft,1569922
60,FL,"Theft, Loss",1137
61,FL,"Theft, Unauthorized Access/Disclosure",28791
62,FL,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",13000
63,FL,"Theft, Unauthorized Access/Disclosure, Other",14519
64,FL,Unauthorized Access/Disclosure,49963
65,FL,"Unauthorized Access/Disclosure, Other",64846
66,FL,Unknown,8282
67,GA,Loss,27192
68,GA,Other,6829
69,GA,Theft,130147
70,GA,Unauthorized Access/Disclosure,43962
71,GA,"Unknown, Other",315000
72,HI,Hacking/IT Incident,674
73,IA,Improper Disposal,3000
74,IA,Loss,19222
75,IA,"Loss, Unknown",7335
76,IA,Other,3442
77,IA,Theft,1298
78,IA,Unauthorized Access/Disclosure,2687
79,ID,Loss,5500
80,ID,Theft,6900
81,IL,Hacking/IT Incident,8706
82,IL,Improper Disposal,19955
83,IL,Loss,7318
84,IL,Other,52744
85,IL,Theft,4297148
86,IL,"Theft, Loss",2548
87,IL,Unauthorized Access/Disclosure,13761
88,IL,"Unauthorized Access/Disclosure, Other",754
89,IN,Hacking/IT Incident,43643
90,IN,Improper Disposal,6388
91,IN,Other,195605
92,IN,Theft,162386
93,IN,"Theft, Unauthorized Access/Disclosure",6237
94,IN,Unauthorized Access/Disclosure,8829
95,KS,Loss,979
96,KS,Theft,10062
97,KS,Unauthorized Access/Disclosure,11340
98,KS,"Unauthorized Access/Disclosure, Other",8275
99,KY,Hacking/IT Incident,20669
100,KY,Loss,3254
101,KY,Other,8813
102,KY,Theft,36783
103,KY,"Theft, Loss",26586
104,KY,Unauthorized Access/Disclosure,2500
105,LA,Loss,2088
106,LA,Theft,3400
107,LA,"Theft, Loss",17000
108,LA,"Theft, Unauthorized Access/Disclosure",10271
109,LA,Unauthorized Access/Disclosure,16469
110,MA,Hacking/IT Incident,32236
111,MA,Improper Disposal,55750
112,MA,Loss,806831
113,MA,Other,14922
114,MA,Theft,45774
115,MA,Unauthorized Access/Disclosure,4161
116,MD,Hacking/IT Incident,9859
117,MD,Other,1629
118,MD,Theft,78873
119,MD,Unauthorized Access/Disclosure,23853
120,MD,"Unauthorized Access/Disclosure, Hacking/IT Incident",10766
121,ME,Other,1920
122,MI,Hacking/IT Incident,11947
123,MI,Loss,3850
124,MI,Other,91445
125,MI,Theft,45723
126,MI,"Theft, Unauthorized Access/Disclosure",1087
127,MI,Unauthorized Access/Disclosure,3518
128,MI,"Unauthorized Access/Disclosure, Hacking/IT Incident",11889
129,MN,Loss,3979
130,MN,"Loss, Unauthorized Access/Disclosure",31049
131,MN,Other,24239
132,MN,Theft,35808
133,MN,Unauthorized Access/Disclosure,29163
134,MO,Hacking/IT Incident,800
135,MO,Improper Disposal,16108
136,MO,Loss,7059
137,MO,Theft,30030
138,MO,Unauthorized Access/Disclosure,52032
139,MO,Unknown,1288
140,MS,Hacking/IT Incident,1489
141,MS,Loss,500
142,MS,Theft,6651
143,MT,Theft,1251
144,MT,"Theft, Loss",37000
145,MT,Unauthorized Access/Disclosure,1900
146,NC,Hacking/IT Incident,27812
147,NC,Improper Disposal,2193
148,NC,Loss,8137
149,NC,Other,10902
150,NC,Theft,19724
151,NC,"Theft, Improper Disposal, Unauthorized Access/Disclosure",17300
152,NC,"Theft, Loss",548
153,NC,"Theft, Unauthorized Access/Disclosure",5370
154,NC,Unauthorized Access/Disclosure,62668
155,NC,"Unauthorized Access/Disclosure, Other",50000
156,NC,Unknown,1814
157,ND,"Improper Disposal, Unauthorized Access/Disclosure",10000
158,ND,Theft,650
159,ND,"Theft, Other",2000
160,NE,Loss,3756
161,NE,Other,4517
162,NE,Theft,6666
163,NH,Hacking/IT Incident,231400
164,NH,Theft,7939
165,NJ,Loss,9642
166,NJ,Other,1749
167,NJ,Theft,911699
168,NJ,"Theft, Hacking/IT Incident",27800
169,NJ,"Theft, Unauthorized Access/Disclosure",2828
170,NM,Hacking/IT Incident,2365
171,NM,Other,1900
172,NM,Theft,36639
173,NV,Improper Disposal,1483
174,NV,Theft,13136
175,NV,"Unauthorized Access/Disclosure, Hacking/IT Incident",800
176,NY,Improper Disposal,1586
177,NY,Loss,10355
178,NY,Other,95628
179,NY,Theft,2347761
180,NY,"Theft, Other",6475
181,NY,Unauthorized Access/Disclosure,109497
182,OH,Improper Disposal,5323
183,OH,Loss,10194
184,OH,Other,11852
185,OH,Theft,169925
186,OH,Unauthorized Access/Disclosure,17014
187,OH,"Unauthorized Access/Disclosure, Other",8845
188,OH,Unknown,953
189,OK,Hacking/IT Incident,19200
190,OK,Loss,1444
191,OK,Theft,216940
192,OK,"Theft, Loss, Improper Disposal",1950
193,OR,Theft,60176
194,OR,"Theft, Unauthorized Access/Disclosure",2300
195,OR,Unauthorized Access/Disclosure,20881
196,OR,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",4354
197,PA,Hacking/IT Incident,7803
198,PA,Improper Disposal,55000
199,PA,Loss,30225
200,PA,"Loss, Unauthorized Access/Disclosure",2589
201,PA,Other,13261
202,PA,Theft,36875
203,PA,"Theft, Loss",8000
204,PA,"Theft, Unauthorized Access/Disclosure",6436
205,PA,Unauthorized Access/Disclosure,8842
206,PA,"Unauthorized Access/Disclosure, Hacking/IT Incident",2600
207,PR,Theft,650555
208,PR,"Theft, Unauthorized Access/Disclosure",8000
209,PR,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",1000
210,PR,Unauthorized Access/Disclosure,266909
211,PR,"Unauthorized Access/Disclosure, Hacking/IT Incident",475000
212,PR,Unknown,2621
213,RI,Loss,14004
214,RI,Other,528
215,RI,Theft,14999
216,RI,"Unknown, Other",2082
217,SC,Hacking/IT Incident,12716
218,SC,Improper Disposal,9771
219,SC,Loss,23605
220,SC,Theft,408865
221,SC,Unauthorized Access/Disclosure,228435
222,SD,Theft,8500
223,TN,Improper Disposal,8200
224,TN,Loss,10700
225,TN,Other,2076
226,TN,Theft,1109122
227,TN,Unauthorized Access/Disclosure,39134
228,TX,Hacking/IT Incident,446572
229,TX,Improper Disposal,283128
230,TX,Loss,37410
231,TX,"Loss, Improper Disposal",3690
232,TX,"Loss, Unknown",5700
233,TX,Other,9928
234,TX,Theft,181924
235,TX,"Theft, Loss",20390
236,TX,Unauthorized Access/Disclosure,80397
237,TX,Unauthorized Access/Disclosure ,768
238,TX,"Unauthorized Access/Disclosure, Hacking/IT Incident",8300
239,TX,Unknown,654
240,UT,Hacking/IT Incident,789800
241,UT,Loss,6332
242,UT,Other,1298
243,UT,Theft,6400
244,UT,"Theft, Loss, Other",2600
245,UT,Unauthorized Access/Disclosure,1500
246,VA,Hacking/IT Incident,10228
247,VA,Improper Disposal,700
248,VA,Loss,4901846
249,VA,"Loss, Other",5534
250,VA,Theft,164017
251,VA,Unauthorized Access/Disclosure,1499
252,VA,"Unauthorized Access/Disclosure, Other",26957
253,VT,Theft,550
254,WA,Hacking/IT Incident,85676
255,WA,Improper Disposal,750
256,WA,Loss,1105
257,WA,Other,9315
258,WA,Theft,48852
259,WA,Unauthorized Access/Disclosure,6450
260,WA,"Unauthorized Access/Disclosure, Other",3104
261,WA,Unknown,2700
262,WI,Hacking/IT Incident,3000
263,WI,Loss,41437
264,WI,Other,600
265,WI,Theft,25845
266,WI,Unauthorized Access/Disclosure,52933
267,WV,Theft,2905
268,WV,"Theft, Loss",12563
269,WV,Unauthorized Access/Disclosure,6075
270,WY,Hacking/IT Incident,15000
271,WY,Theft,2700
272,WY,Unauthorized Access/Disclosure,11935
273,WY,Unauthorized Access/Disclosure ,9023
